key,company,domain,date,outcome
ollama,Ollama,ollama.com,2026-07-10,qualified
primeintellect,Prime Intellect,www.primeintellect.ai,2026-07-10,qualified
monogram,Monogram,www.monogram.ai,2026-07-10,qualified
edxmarkets,EDX Markets,edxmarkets.com,2026-07-10,rejected: ICP fit (institutional trading venue) but X (@markets_edx) dormant since ~April — no confirmed-active social
netris,Netris,www.netris.io,2026-07-10,rejected: ICP fit (network automation for AI clouds) but company X (@netris_io) activity within 30d unconfirmed
linqalpha,LinqAlpha,www.linqalpha.com,2026-07-10,rejected: ICP fit (AI research for hedge funds) but no company X presence found
kredosai,KredosAi,kredosai.com,2026-07-10,rejected: ICP fit (AI payment-reminder SaaS) but no X presence found
leapxpert,LeapXpert,www.leapxpert.com,2026-07-10,"rejected: ICP fit (compliance messaging SaaS, $180M Jun 30) but X (@leapxpert) activity within 30d unconfirmed"
arca,Arca,arcawealth.com,2026-07-10,"rejected: ICP fit (AI wealth management, $64M) but no active social confirmed; announced Jun 24"
equilibre,EquiLibre Technologies,,2026-07-10,"rejected: Not ICP: proprietary AI trading fund trading its own capital, not a trading platform/infrastructure product"
venice,Venice,,2026-07-10,rejected: Excluded: uncensored AI platform with adult-content generation risk (halal gate)
kaonai,Kaon AI,,2026-07-10,rejected: Excluded: AI companion/roleplay app (Emochi) — adult-content risk; company X unconfirmed
arkenstonedefense,Arkenstone Defense,,2026-07-10,rejected: Not ICP: defense/weapons company
beelinemedicines,Beeline Medicines,,2026-07-10,rejected: Not ICP: wet-lab clinical-stage biotech (drug development)
alchemabtherapeutics,Alchemab Therapeutics,,2026-07-10,rejected: Not ICP: wet-lab biotech
quantumdiamonds,QuantumDiamonds,,2026-07-10,rejected: Not ICP: quantum sensing hardware
venusaerospace,Venus Aerospace,,2026-07-10,rejected: Not ICP: rocket engine / aerospace hardware
sambanova,SambaNova,,2026-07-10,"rejected: Not ICP: AI chip/hardware maker, late stage ($1B Series F)"
lyzr,Lyzr,www.lyzr.ai,2026-07-11,qualified
bespoke,Bespoke Labs,www.bespokelabs.ai,2026-07-11,qualified
twelvelabs,TwelveLabs,www.twelvelabs.io,2026-07-11,qualified
8090,8090,www.8090.ai,2026-07-11,qualified
fleek,Fleek,www.joinfleek.com,2026-07-11,qualified
agave,Agave,www.useagave.com,2026-07-11,qualified
attention,Attention,www.attention.com,2026-07-11,qualified
redo,Redo,www.getredo.com,2026-07-11,qualified
axleenergy,Axle Energy,axle.energy,2026-07-11,qualified
aligned,Aligned,www.alignedup.com,2026-07-11,rejected: Excluded: NYC/Tel Aviv HQ — Israeli company (halal gate); Series B $60M Jul 1
alta,Alta,,2026-07-11,"rejected: Excluded: Tel Aviv, Israel — Israeli company (halal gate); Series A $25M Jul 8"
oratomic,Oratomic,,2026-07-11,rejected: Not ICP: quantum computing hardware ($300M Series A Jul 7)
aria,Aria,,2026-07-11,rejected: Excluded: embedded invoice-financing product (interest-adjacent lending); Series A ext Jul 9
curifylabs,CurifyLabs,,2026-07-11,"rejected: Not ICP: pharmaceutical compounding automation hardware (Helsinki, Series A Jul 6)"
pediatricahealth,Pediatrica Health Group,,2026-07-11,"rejected: Not ICP: healthcare services provider group, not software (Series B Jul 8)"
hostie,Hostie,www.hostie.ai,2026-07-11,"rejected: ICP fit (restaurant AI SaaS, $12M A Jul 8) but X identity ambiguous / activity unconfirmable"
edvisorly,EdVisorly,www.edvisorly.com,2026-07-11,"rejected: ICP fit (edtech SaaS, $13.3M A Jul 9) but no X presence found"
wertintelligence,wert Intelligence,,2026-07-11,"rejected: ICP fit (patent AI, $10.9M B Jul 9, KR) but no X presence found"
carbonsix,CarbonSix,,2026-07-11,"rejected: ICP fit (physical AI, $40M A Jul 1, KR) but no X presence found"
bohrenergie,Bohr Energie,,2026-07-11,"rejected: ICP fit (AI energy software, €10M A) but LinkedIn-only — no qualifying social"
emergent,Emergent,,2026-07-11,"rejected: Stale: $70M Series B announced Jan 20, 2026 (re-reported in July roundups)"
poetic,Poetic,,2026-07-11,"rejected: Stale: $50M Series A announced Jun 10, 2026 — outside 30-day window"
transientai,Transient.AI,,2026-07-11,"rejected: Stale: Series A announced May 19, 2026 — outside 30-day window"
govdash,GovDash,,2026-07-11,"rejected: Stale: $30M Series B announced Jan 15, 2026"
kraken,Kraken Technology Group,,2026-07-11,rejected: Not ICP: maritime defence company (Series B Jul)
jetson,Jetson,,2026-07-11,"rejected: Not ICP: home heat-pump installation/services, not software (Series A $50M, Canada)"
genspark,Genspark,,2026-07-11,rejected: Stage out of scope: $485M Series B extension — mega/late-stage
osannibio,Osanni Bio,,2026-07-11,rejected: Not ICP: wet-lab therapeutics ($190M Series B Jul 1)
ethernovia,Ethernovia,,2026-07-11,rejected: Not ICP: automotive networking chips (Series B)
point2,Point2 Technology,,2026-07-11,rejected: Not ICP: semiconductor hardware (Series B)
